电子产品名,价格（元）,销量（件）,时间,分类,品牌,原价（元）,折扣率（%）,评价数量,好评率（%）,发货地,保修期（月）
小米 智能家居 X8,4346,1998,2025/1/16,智能家居,小米,4970.41,12.56,253,93.58,杭州,18
联想 智能手机 X8,8947,45201,2024/11/3,智能手机,联想,12911.75,30.71,965,93.7,成都,24
小米 笔记本电脑 X2,3655,8208,2024/4/4,笔记本电脑,小米,4927.07,25.82,576,83.22,广州,18
小米 电视 X1,11936,3190,2024/12/10,电视,小米,12446.2,4.1,705,92.37,广州,18
三星 电视 X9,2574,4798,2024/7/2,电视,三星,2731.83,5.78,824,98.26,杭州,18
联想 平板电脑 X6,1164,4673,2024/12/4,平板电脑,联想,1353.88,14.03,189,82.91,上海,12
华为 投影仪 X7,9190,4508,2024/2/9,投影仪,华为,12760.95,27.98,523,97.38,武汉,12
苹果 笔记本电脑 X10,13516,4236,2024/9/29,笔记本电脑,苹果,13647.66,0.96,932,86.34,广州,6
三星 智能家居 X10,1643,2637,2024/8/13,智能家居,三星,2083.94,21.16,401,96.41,北京,18
飞利浦 耳机 X2,881,956,2024/9/10,耳机,飞利浦,975.58,9.69,626,80.25,成都,18
三星 笔记本电脑 X4,17338,14447,2024/8/16,笔记本电脑,三星,21601.28,19.74,10,91.98,武汉,18
海尔 笔记本电脑 X7,17507,17906,2024/6/24,笔记本电脑,海尔,22055.99,20.62,865,94.14,深圳,24
小米 电视 X4,2120,2816,2025/1/14,电视,小米,2703.76,21.59,182,83.28,深圳,18
戴尔 笔记本电脑 X6,4548,7438,2024/2/22,笔记本电脑,戴尔,6283.53,27.62,258,94.06,深圳,18
三星 智能家居 X10,691,253,2024/4/15,智能家居,三星,766.53,9.85,250,80.72,广州,18
飞利浦 耳机 X9,504,183,2024/5/23,耳机,飞利浦,539.36,6.56,877,82.6,北京,12
三星 智能家居 X9,2875,1497,2024/3/30,智能家居,三星,3664.33,21.54,131,85.98,上海,18
苹果 平板电脑 X3,7462,3195,2024/3/16,平板电脑,苹果,7670.61,2.72,105,81.51,成都,18
联想 笔记本电脑 X8,12465,4639,2024/10/12,笔记本电脑,联想,17241.02,27.7,657,83.43,成都,24
索尼 平板电脑 X3,7433,4691,2024/9/12,平板电脑,索尼,9688.33,23.28,774,94.8,杭州,12
飞利浦 智能家居 X4,2527,693,2024/4/3,智能家居,飞利浦,3580.4,29.42,615,92.44,成都,18
索尼 智能穿戴 X10,161,133,2024/11/16,智能穿戴,索尼,203.47,20.87,991,93.09,杭州,6
联想 智能穿戴 X3,273,1019,2024/5/10,智能穿戴,联想,407.78,33.05,21,82.02,成都,24
苹果 智能手机 X3,2850,24766,2024/9/24,智能手机,苹果,3453.83,17.48,211,88.46,杭州,24
戴尔 投影仪 X10,8209,3593,2024/7/17,投影仪,戴尔,8329.64,1.45,301,87.89,深圳,18
华为 平板电脑 X6,1301,2193,2024/6/19,平板电脑,华为,1778.32,26.84,466,95.18,北京,18
飞利浦 智能穿戴 X8,422,656,2025/1/13,智能穿戴,飞利浦,422.58,0.14,810,82.71,杭州,6
苹果 智能穿戴 X5,938,1541,2024/8/26,智能穿戴,苹果,940.06,0.22,281,92.13,广州,12
OPPO 智能家居 X9,2613,2318,2024/2/12,智能家居,OPPO,3881.13,32.67,894,94.63,上海,12
OPPO 智能手机 X5,1160,20267,2024/12/5,智能手机,OPPO,1325.29,12.47,431,83.99,广州,18
苹果 平板电脑 X10,4951,7042,2024/7/23,平板电脑,苹果,7175.42,31,230,93.15,上海,18
海尔 智能穿戴 X1,820,1116,2024/8/25,智能穿戴,海尔,839.34,2.3,262,96.64,武汉,18
三星 笔记本电脑 X7,17181,17728,2025/1/8,笔记本电脑,三星,24257.26,29.17,657,81.27,广州,12
戴尔 智能穿戴 X9,412,1844,2024/8/17,智能穿戴,戴尔,556.58,25.98,313,86.64,北京,24
联想 投影仪 X6,4591,4856,2024/8/6,投影仪,联想,5388.28,14.8,72,87.6,杭州,6
联想 投影仪 X10,9815,4039,2024/3/18,投影仪,联想,11930.52,17.73,400,82.56,杭州,6
飞利浦 投影仪 X2,3140,1385,2024/6/8,投影仪,飞利浦,3586.4,12.45,169,94.39,成都,24
苹果 电视 X3,1578,6911,2024/4/23,电视,苹果,1743.08,9.47,682,82.2,上海,6
飞利浦 智能家居 X8,4466,1591,2024/5/10,智能家居,飞利浦,5027.8,11.17,396,86.99,深圳,24
华为 智能手机 X4,3605,4917,2024/8/9,智能手机,华为,4333.28,16.81,518,91.61,成都,6
飞利浦 投影仪 X9,4172,4171,2024/4/30,投影仪,飞利浦,5187.59,19.58,469,96.75,上海,24
华为 电视 X4,11101,2234,2024/4/6,电视,华为,14248.07,22.09,965,90.95,杭州,24
华为 智能手机 X1,6032,9471,2024/10/25,智能手机,华为,8479.51,28.86,745,93.83,武汉,24
华为 平板电脑 X3,7194,9629,2024/5/9,平板电脑,华为,9826.26,26.79,731,94.18,成都,18
苹果 智能穿戴 X4,887,2096,2024/11/10,智能穿戴,苹果,1144.92,22.53,133,92.37,上海,6
华为 智能手机 X9,3382,12108,2024/9/11,智能手机,华为,4914.12,31.18,911,91.56,上海,24
小米 智能手机 X1,2361,46653,2024/8/8,智能手机,小米,3193.54,26.07,649,92.92,武汉,6
海尔 耳机 X7,831,655,2025/2/4,耳机,海尔,1114.15,25.41,634,96.26,上海,18
联想 电视 X1,1696,5963,2024/4/14,电视,联想,2513.82,32.53,557,96.3,上海,24
三星 电视 X7,12512,3629,2024/10/18,电视,三星,15146.05,17.39,772,81.52,武汉,6
戴尔 智能家居 X3,597,2862,2024/6/24,智能家居,戴尔,842.29,29.12,884,97.8,深圳,12
联想 智能家居 X9,4318,1875,2024/8/15,智能家居,联想,6009.06,28.14,259,92.54,杭州,18
飞利浦 电视 X1,5611,3933,2025/1/14,电视,飞利浦,6406.42,12.42,872,80.98,成都,6
飞利浦 耳机 X5,120,405,2024/9/15,耳机,飞利浦,123.69,2.99,203,83.3,北京,12
戴尔 笔记本电脑 X5,14279,18946,2024/6/14,笔记本电脑,戴尔,21410.21,33.31,246,83.37,武汉,24
联想 智能家居 X4,1866,1221,2024/2/17,智能家居,联想,2653.8,29.69,429,87.1,成都,12
联想 智能穿戴 X9,361,1216,2024/11/24,智能穿戴,联想,475.5,24.08,760,92.05,广州,6
索尼 智能手机 X1,5355,4765,2024/6/30,智能手机,索尼,7586.24,29.41,772,84.64,成都,18
海尔 电视 X7,12003,4892,2024/5/6,电视,海尔,17168.62,30.09,311,94.54,北京,12
小米 智能家居 X4,2069,468,2024/10/3,智能家居,小米,2252.05,8.13,37,84.19,广州,24
戴尔 投影仪 X9,8437,2892,2025/1/13,投影仪,戴尔,9238.98,8.68,539,81.18,上海,6
三星 笔记本电脑 X8,16491,4026,2025/2/7,笔记本电脑,三星,24058.03,31.45,346,89.62,深圳,12
海尔 投影仪 X4,1273,4003,2024/7/3,投影仪,海尔,1526.51,16.61,176,89.45,成都,6
华为 耳机 X6,328,1800,2024/7/8,耳机,华为,341.79,4.03,132,87.74,上海,18
联想 笔记本电脑 X10,10638,7047,2024/12/19,笔记本电脑,联想,11327.61,6.09,558,91.36,北京,6
飞利浦 投影仪 X2,9086,4495,2024/4/20,投影仪,飞利浦,11380.29,20.16,685,93.86,北京,18
戴尔 智能家居 X5,1129,1450,2024/9/3,智能家居,戴尔,1386.17,18.55,564,98.05,深圳,12
索尼 平板电脑 X3,6610,6899,2024/3/13,平板电脑,索尼,7103,6.94,667,86.92,成都,12
OPPO 平板电脑 X5,3781,1297,2024/12/14,平板电脑,OPPO,5421.36,30.26,196,95.39,北京,12
索尼 笔记本电脑 X4,16648,12668,2024/11/5,笔记本电脑,索尼,16728.72,0.48,850,91.55,深圳,12
OPPO 智能家居 X10,3420,1275,2024/4/10,智能家居,OPPO,4456.32,23.26,493,95.9,广州,24
OPPO 投影仪 X4,8075,2871,2024/5/18,投影仪,OPPO,11126.99,27.43,752,91.72,广州,6
戴尔 投影仪 X8,2371,1935,2024/4/13,投影仪,戴尔,3152.01,24.78,943,96.17,广州,6
联想 笔记本电脑 X6,10653,6062,2024/9/6,笔记本电脑,联想,14138.96,24.65,361,90.42,成都,24
华为 智能家居 X5,1420,1859,2024/11/14,智能家居,华为,1623.49,12.53,747,92.19,成都,18
联想 智能穿戴 X8,494,2332,2024/2/20,智能穿戴,联想,509.03,2.95,830,92.54,广州,12
小米 笔记本电脑 X5,8305,2306,2024/2/22,笔记本电脑,小米,10632.02,21.89,992,81.03,北京,24
索尼 智能穿戴 X8,135,4163,2024/6/10,智能穿戴,索尼,180.45,25.19,755,93.74,武汉,6
苹果 笔记本电脑 X10,17539,19220,2024/9/30,笔记本电脑,苹果,23391.5,25.02,541,98.64,北京,6
戴尔 智能穿戴 X9,465,2545,2025/1/2,智能穿戴,戴尔,614.35,24.31,726,91.07,杭州,24
小米 智能家居 X10,1043,154,2024/11/30,智能家居,小米,1223.73,14.77,415,85.61,上海,12
OPPO 智能手机 X10,5906,5214,2025/1/19,智能手机,OPPO,8493.35,30.46,173,95.62,杭州,6
三星 笔记本电脑 X5,17485,9783,2024/7/23,笔记本电脑,三星,24659.97,29.1,809,95.02,北京,24
索尼 平板电脑 X4,5638,8827,2024/10/30,平板电脑,索尼,6758.48,16.58,726,84.06,杭州,24
海尔 智能穿戴 X5,394,3631,2024/9/10,智能穿戴,海尔,528.72,25.48,520,97.7,北京,24
华为 智能手机 X7,2866,25928,2024/4/9,智能手机,华为,3524.79,18.69,571,87.03,北京,6
苹果 耳机 X3,331,883,2024/6/3,耳机,苹果,401.72,17.6,776,89.39,武汉,24
OPPO 智能手机 X7,3560,40678,2024/11/10,智能手机,OPPO,3752.35,5.13,212,87.04,杭州,24
OPPO 平板电脑 X1,3275,8990,2024/12/1,平板电脑,OPPO,3579.56,8.51,118,92.39,深圳,18
OPPO 笔记本电脑 X3,4517,18105,2024/3/21,笔记本电脑,OPPO,5621.76,19.65,163,90.52,成都,18
海尔 笔记本电脑 X2,14103,9614,2024/4/3,笔记本电脑,海尔,19303.97,26.94,432,89.37,上海,24
戴尔 智能穿戴 X9,393,3405,2024/12/9,智能穿戴,戴尔,428.2,8.22,742,97.14,深圳,6
戴尔 笔记本电脑 X2,14873,10512,2024/6/15,笔记本电脑,戴尔,16108.35,7.67,696,95.34,杭州,18
华为 投影仪 X1,4836,2855,2025/1/17,投影仪,华为,5945.58,18.66,919,98.3,上海,12
苹果 笔记本电脑 X7,7160,15591,2024/10/1,笔记本电脑,苹果,7878.88,9.12,525,81.49,广州,6
索尼 电视 X6,13878,4676,2024/3/8,电视,索尼,15925.01,12.85,978,94.19,武汉,6
飞利浦 智能手机 X2,3265,39648,2024/12/1,智能手机,飞利浦,4281.74,23.75,949,91.28,杭州,6
索尼 平板电脑 X5,3636,4869,2024/12/5,平板电脑,索尼,4527.98,19.7,477,89.97,杭州,18
戴尔 笔记本电脑 X9,4738,11375,2024/4/17,笔记本电脑,戴尔,6331.5,25.17,163,82.87,广州,18
小米 智能手机 X2,6284,48120,2024/8/6,智能手机,小米,6351.49,1.06,30,88.59,杭州,18
海尔 投影仪 X10,773,2625,2025/1/25,投影仪,海尔,1107.92,30.23,608,80.65,上海,6
海尔 智能家居 X8,3902,812,2024/12/14,智能家居,海尔,3947.53,1.15,663,83.25,武汉,12
戴尔 智能穿戴 X1,820,2282,2024/5/10,智能穿戴,戴尔,1095.76,25.17,782,80.17,深圳,12
索尼 智能穿戴 X1,534,2469,2025/2/6,智能穿戴,索尼,716.49,25.47,471,92.51,杭州,18
联想 智能手机 X2,1653,40412,2024/5/16,智能手机,联想,2410.27,31.42,94,80.92,武汉,12
华为 电视 X10,7293,5790,2025/2/6,电视,华为,9303.47,21.61,766,98.99,广州,6
三星 投影仪 X10,3928,405,2024/4/14,投影仪,三星,4379.31,10.31,230,83.88,深圳,18
戴尔 智能家居 X5,314,2019,2024/9/16,智能家居,戴尔,466.69,32.72,597,82.43,上海,12
三星 电视 X5,2834,3550,2024/5/2,电视,三星,3678.68,22.96,587,89.45,深圳,18
华为 智能家居 X7,965,2278,2025/1/15,智能家居,华为,1111.05,13.15,860,81.21,北京,24
索尼 电视 X4,6075,6800,2024/11/30,电视,索尼,7613.35,20.21,989,82.24,杭州,12
苹果 耳机 X8,208,2090,2024/11/21,耳机,苹果,282,26.24,172,98.8,武汉,6
戴尔 智能家居 X9,2773,238,2024/7/26,智能家居,戴尔,2953.48,6.11,137,86.73,成都,18
华为 智能穿戴 X5,538,1734,2024/5/6,智能穿戴,华为,797,32.5,317,92.44,广州,24
飞利浦 电视 X2,14059,6887,2025/1/23,电视,飞利浦,20295,30.73,695,81.11,上海,12
小米 电视 X9,10224,7297,2024/10/29,电视,小米,12199.97,16.2,522,97.62,武汉,18
小米 电视 X10,14977,4753,2024/7/28,电视,小米,17690.01,15.34,323,95.61,广州,24
飞利浦 智能家居 X5,3197,2012,2024/11/14,智能家居,飞利浦,3677,13.05,555,91.74,成都,18
三星 投影仪 X4,7127,3185,2024/11/13,投影仪,三星,7736.94,7.88,363,81.7,北京,18
华为 电视 X3,5181,9133,2024/9/5,电视,华为,5230.74,0.95,49,92.51,上海,24
海尔 平板电脑 X6,4512,6286,2024/10/9,平板电脑,海尔,5506.7,18.06,106,85.51,上海,6
苹果 平板电脑 X3,5533,4511,2024/3/15,平板电脑,苹果,5537.18,0.08,196,90.11,上海,18
华为 电视 X4,7478,6215,2024/3/16,电视,华为,8957.46,16.52,972,89.05,上海,12
联想 投影仪 X5,5454,4030,2024/12/24,投影仪,联想,5945.88,8.27,689,94.74,北京,18
戴尔 智能穿戴 X3,227,2365,2024/11/11,智能穿戴,戴尔,292.35,22.35,125,82.26,武汉,24
三星 智能手机 X3,9042,43242,2024/2/15,智能手机,三星,10647.77,15.08,105,92.4,武汉,18
戴尔 智能家居 X10,2095,259,2024/8/25,智能家居,戴尔,3132.11,33.11,39,93.64,深圳,6
苹果 投影仪 X10,3331,2685,2024/8/18,投影仪,苹果,4067.14,18.1,348,85.62,上海,24
小米 平板电脑 X5,5274,1877,2024/12/7,平板电脑,小米,7102.3,25.74,622,83.95,杭州,24
海尔 笔记本电脑 X7,15134,9445,2024/4/19,笔记本电脑,海尔,22392.93,32.42,20,87.99,上海,18
联想 电视 X4,7634,9641,2025/1/23,电视,联想,9730.61,21.55,901,93.79,广州,12
戴尔 平板电脑 X10,7841,2298,2024/11/14,平板电脑,戴尔,8957.63,12.47,686,93.25,武汉,12
华为 智能穿戴 X9,422,3627,2024/10/15,智能穿戴,华为,597.58,29.38,992,88.03,杭州,24
联想 耳机 X4,721,492,2024/6/12,耳机,联想,795.42,9.36,382,90.97,成都,24
三星 笔记本电脑 X3,3394,13863,2024/9/24,笔记本电脑,三星,3827.22,11.32,534,90.04,武汉,6
飞利浦 笔记本电脑 X5,6323,13076,2024/11/4,笔记本电脑,飞利浦,9437.27,33,852,91.47,武汉,12
小米 投影仪 X3,3193,2145,2024/10/3,投影仪,小米,3624.22,11.9,287,80.3,武汉,24
华为 智能穿戴 X10,492,3749,2024/4/13,智能穿戴,华为,506.77,2.92,99,94.57,武汉,12
海尔 智能家居 X1,250,724,2024/9/13,智能家居,海尔,321.55,22.25,352,81.79,成都,6
索尼 智能手机 X1,1434,3651,2024/10/10,智能手机,索尼,1931.64,25.76,317,87.91,北京,6
联想 笔记本电脑 X9,6646,19637,2024/2/27,笔记本电脑,联想,7488.57,11.25,919,98.4,北京,18
联想 平板电脑 X10,7283,3719,2024/12/9,平板电脑,联想,8850.07,17.71,101,81.94,杭州,6
飞利浦 智能家居 X2,103,2059,2024/4/16,智能家居,飞利浦,132.18,22.08,503,93.38,北京,6
小米 智能穿戴 X4,384,234,2024/9/3,智能穿戴,小米,401.33,4.32,242,97.42,深圳,6
华为 电视 X10,5421,2360,2024/7/27,电视,华为,5935.94,8.67,33,88.75,北京,24
苹果 平板电脑 X1,886,3375,2024/10/29,平板电脑,苹果,1161.96,23.75,600,89.65,成都,18
戴尔 投影仪 X4,6725,1860,2024/8/20,投影仪,戴尔,9754.09,31.05,823,89.21,广州,24
华为 电视 X3,10702,8837,2024/12/25,电视,华为,15343.1,30.25,470,96.63,成都,6
戴尔 平板电脑 X9,5192,5668,2024/7/21,平板电脑,戴尔,5530.84,6.13,397,96.12,广州,6
联想 智能穿戴 X8,236,1357,2024/9/6,智能穿戴,联想,285.37,17.3,266,95.51,深圳,24
联想 笔记本电脑 X5,14803,10053,2024/12/23,笔记本电脑,联想,20595.19,28.12,548,89.28,深圳,18
戴尔 智能穿戴 X4,330,2999,2024/4/13,智能穿戴,戴尔,453.41,27.22,529,91.25,广州,12
海尔 笔记本电脑 X10,16085,1016,2024/11/22,笔记本电脑,海尔,24096.85,33.25,38,91.42,北京,24
OPPO 投影仪 X3,7729,889,2024/4/15,投影仪,OPPO,8669.52,10.85,858,82.79,成都,12
OPPO 耳机 X4,139,2397,2024/7/8,耳机,OPPO,208.37,33.29,148,83.72,成都,6
戴尔 智能家居 X7,2982,982,2024/2/22,智能家居,戴尔,3907.35,23.68,481,90.23,北京,12
OPPO 投影仪 X4,1209,1953,2025/1/24,投影仪,OPPO,1465.32,17.49,44,98.84,广州,24
飞利浦 电视 X7,7742,8426,2024/10/7,电视,飞利浦,10931.75,29.18,307,92.05,深圳,6
飞利浦 智能家居 X9,1789,2179,2024/5/14,智能家居,飞利浦,2141.43,16.46,296,83.16,深圳,24
苹果 投影仪 X10,3100,2459,2024/11/20,投影仪,苹果,3552.21,12.73,388,89.14,成都,6
索尼 投影仪 X10,4535,1909,2024/8/20,投影仪,索尼,4867.89,6.84,284,83.42,上海,24
戴尔 智能穿戴 X3,927,1186,2024/6/7,智能穿戴,戴尔,1115.79,16.92,819,89.03,上海,24
OPPO 智能家居 X5,2270,395,2024/12/15,智能家居,OPPO,2843.81,20.18,677,81.79,上海,12
联想 笔记本电脑 X10,3190,18014,2024/6/25,笔记本电脑,联想,3336.25,4.38,835,96.67,深圳,6
OPPO 电视 X1,6384,7344,2024/10/10,电视,OPPO,9438.32,32.36,793,97.92,成都,18
三星 投影仪 X1,1642,840,2024/10/29,投影仪,三星,1692.14,2.96,216,86.33,深圳,18
小米 智能家居 X5,3763,1256,2024/11/15,智能家居,小米,4947.19,23.94,931,80.02,广州,6
戴尔 笔记本电脑 X6,11699,18486,2024/12/18,笔记本电脑,戴尔,13729.82,14.79,542,83.74,北京,18
海尔 投影仪 X5,7686,1721,2024/4/9,投影仪,海尔,9153.09,16.03,348,94.85,成都,24
OPPO 投影仪 X1,5871,2804,2024/10/9,投影仪,OPPO,6479.2,9.39,186,93.95,杭州,6
小米 智能家居 X10,3488,2997,2024/10/23,智能家居,小米,3528.79,1.16,45,92.62,成都,6
联想 电视 X9,8970,1722,2024/7/6,电视,联想,9865.05,9.07,443,88.62,深圳,6
三星 电视 X2,5488,9255,2024/10/4,电视,三星,6967.51,21.23,364,93.14,成都,18
飞利浦 平板电脑 X10,1317,8867,2024/12/23,平板电脑,飞利浦,1885.96,30.17,468,94.12,成都,18
索尼 耳机 X2,904,223,2024/6/25,耳机,索尼,1272.71,28.97,449,96.76,北京,24
三星 笔记本电脑 X8,6441,11598,2024/6/30,笔记本电脑,三星,8467.24,23.93,492,92.78,深圳,18
索尼 投影仪 X4,7086,3939,2024/11/17,投影仪,索尼,8651.12,18.09,800,94.75,上海,24
小米 智能家居 X7,1425,539,2024/5/23,智能家居,小米,1818.21,21.63,333,87.17,北京,24
联想 智能穿戴 X6,267,3928,2024/7/18,智能穿戴,联想,295.3,9.58,400,97.08,武汉,18
飞利浦 平板电脑 X9,1021,2097,2024/9/9,平板电脑,飞利浦,1071.54,4.72,531,95.77,上海,12
苹果 笔记本电脑 X10,9771,18879,2024/4/16,笔记本电脑,苹果,13582.1,28.06,94,97.51,深圳,18
苹果 智能手机 X10,7146,30121,2024/4/24,智能手机,苹果,8254.87,13.43,880,85.4,广州,12
索尼 智能家居 X5,1737,327,2024/10/24,智能家居,索尼,1798.29,3.41,322,95.5,广州,18
华为 投影仪 X6,820,695,2025/1/5,投影仪,华为,884,7.24,42,96.78,杭州,6
三星 平板电脑 X7,4994,7367,2024/4/8,平板电脑,三星,6257.93,20.2,492,94.83,上海,12
小米 智能家居 X8,465,2391,2024/11/19,智能家居,小米,577.78,19.52,33,93.3,深圳,6
海尔 电视 X3,2858,9187,2024/10/5,电视,海尔,3936.05,27.39,590,97.14,北京,12
联想 笔记本电脑 X4,6304,746,2024/3/25,笔记本电脑,联想,6801.82,7.32,419,92.31,上海,12
联想 笔记本电脑 X1,9942,2971,2025/1/13,笔记本电脑,联想,13006.85,23.56,344,81.44,武汉,18
联想 笔记本电脑 X8,17643,2567,2025/1/4,笔记本电脑,联想,20638.64,14.51,820,94.84,成都,18
索尼 电视 X4,10983,3655,2024/11/11,电视,索尼,11004.75,0.2,865,85.46,武汉,12
华为 笔记本电脑 X4,12109,3774,2024/4/5,笔记本电脑,华为,15960.24,24.13,406,87.07,武汉,12
戴尔 耳机 X2,225,2877,2024/6/3,耳机,戴尔,309.94,27.41,66,85.52,武汉,6
三星 平板电脑 X2,1762,9857,2024/11/23,平板电脑,三星,2239.57,21.32,191,98.01,杭州,24
小米 耳机 X6,831,1543,2024/9/26,耳机,小米,932.05,10.84,810,90.12,杭州,6
华为 投影仪 X1,9222,1020,2024/4/27,投影仪,华为,13775.21,33.05,899,95.62,广州,24
海尔 电视 X7,13147,9473,2024/6/4,电视,海尔,14659.76,10.32,75,90.57,广州,6
海尔 投影仪 X1,6299,4575,2024/7/31,投影仪,海尔,7533.55,16.39,652,80.22,杭州,6
苹果 智能手机 X1,3229,32503,2024/9/20,智能手机,苹果,4091.93,21.09,666,91.85,杭州,18
OPPO 智能家居 X7,2070,685,2024/4/29,智能家居,OPPO,3003.74,31.09,849,92.95,武汉,18
小米 智能家居 X7,254,895,2024/2/13,智能家居,小米,294.61,13.78,454,82.96,成都,24
华为 智能家居 X7,4803,2327,2024/3/15,智能家居,华为,6082.13,21.03,67,93.62,杭州,12
联想 笔记本电脑 X4,9240,14686,2024/5/5,笔记本电脑,联想,12451.47,25.79,799,81.72,上海,6
联想 耳机 X1,295,2429,2024/5/14,耳机,联想,344.35,14.33,407,87.23,成都,12
苹果 平板电脑 X8,7382,3168,2025/1/21,平板电脑,苹果,9966.18,25.93,116,84.51,杭州,6
戴尔 智能穿戴 X9,596,3965,2024/4/24,智能穿戴,戴尔,602.59,1.09,866,95.76,上海,24
飞利浦 电视 X10,7684,627,2024/12/12,电视,飞利浦,8356.31,8.05,321,83.32,杭州,6
联想 耳机 X10,59,2446,2024/4/23,耳机,联想,61.05,3.36,1000,87.34,武汉,24
OPPO 笔记本电脑 X4,17585,18177,2024/10/11,笔记本电脑,OPPO,18165.79,3.2,464,81.14,成都,6
苹果 智能穿戴 X5,641,4673,2025/1/14,智能穿戴,苹果,720.34,11.01,491,88.38,杭州,12
苹果 电视 X9,1177,1084,2024/4/27,电视,苹果,1368.71,14.01,986,95.64,成都,12
华为 投影仪 X2,2488,4588,2024/2/16,投影仪,华为,3608.8,31.06,313,84.21,深圳,12
OPPO 平板电脑 X3,7449,8540,2024/8/10,平板电脑,OPPO,8796.72,15.32,633,90.71,武汉,18
小米 笔记本电脑 X10,12092,686,2025/1/6,笔记本电脑,小米,12892.84,6.21,415,93.4,成都,24
华为 投影仪 X1,8710,4953,2024/12/26,投影仪,华为,10489.19,16.96,972,82.55,广州,12
三星 智能手机 X10,3960,37512,2024/7/12,智能手机,三星,4008.62,1.21,933,95.89,成都,24
三星 电视 X10,4228,9527,2024/5/16,电视,三星,5971.5,29.2,240,86.58,广州,24
苹果 智能穿戴 X3,774,1651,2024/12/22,智能穿戴,苹果,963.27,19.65,123,85.29,杭州,18
索尼 笔记本电脑 X7,12606,11929,2024/3/9,笔记本电脑,索尼,14542.55,13.32,198,86.4,上海,18
小米 投影仪 X5,2127,2595,2024/7/24,投影仪,小米,3090.92,31.19,991,84.5,深圳,24
苹果 耳机 X10,642,775,2024/9/12,耳机,苹果,904.43,29.02,498,83.95,杭州,24
苹果 电视 X6,8011,9154,2024/7/16,电视,苹果,10001.71,19.9,693,81.52,北京,12
海尔 电视 X5,6047,2020,2024/12/12,电视,海尔,9029.51,33.03,40,91.06,上海,6
海尔 笔记本电脑 X9,9403,18822,2025/1/11,笔记本电脑,海尔,10712.34,12.22,568,84.14,杭州,12
华为 电视 X2,3564,8695,2024/3/6,电视,华为,4753.04,25.02,344,81.81,上海,6
戴尔 智能家居 X4,3083,2385,2025/1/8,智能家居,戴尔,3493.69,11.76,411,94.25,杭州,24
飞利浦 智能穿戴 X4,738,4992,2024/7/12,智能穿戴,飞利浦,770.28,4.19,552,85.54,北京,24
小米 智能手机 X1,4074,1076,2024/12/22,智能手机,小米,4144.45,1.7,136,93.05,深圳,24
索尼 电视 X8,6407,444,2024/9/5,电视,索尼,6861.12,6.62,625,81.58,杭州,6
海尔 平板电脑 X4,2463,4398,2024/8/6,平板电脑,海尔,3418.55,27.95,487,87.52,杭州,18
戴尔 电视 X3,8512,1890,2024/8/10,电视,戴尔,10380.07,18,671,96.58,成都,6
苹果 电视 X10,9559,7491,2025/1/13,电视,苹果,9906.25,3.51,199,95.78,杭州,18
联想 投影仪 X6,3869,3068,2024/11/4,投影仪,联想,5707.62,32.21,560,93.48,北京,24
华为 投影仪 X4,4667,338,2024/12/25,投影仪,华为,5573.59,16.27,474,86.4,上海,6
苹果 智能穿戴 X4,1000,1688,2024/12/4,智能穿戴,苹果,1447.25,30.9,583,93.03,杭州,24
飞利浦 笔记本电脑 X3,9389,15266,2024/6/1,笔记本电脑,飞利浦,10597.4,11.4,29,97.72,武汉,12
戴尔 耳机 X4,881,1464,2024/11/30,耳机,戴尔,978.99,10.01,182,84.22,上海,12
戴尔 耳机 X10,258,2221,2024/9/12,耳机,戴尔,361.2,28.57,858,90.17,深圳,6
OPPO 智能手机 X9,4292,41293,2024/5/6,智能手机,OPPO,5693.64,24.62,491,95.72,北京,24
三星 笔记本电脑 X9,3210,4139,2024/11/4,笔记本电脑,三星,4300.52,25.36,17,92.06,上海,6
飞利浦 智能手机 X9,3696,6268,2024/7/24,智能手机,飞利浦,5534.5,33.22,609,98.29,武汉,12
飞利浦 智能手机 X4,5011,40444,2024/3/17,智能手机,飞利浦,7501.19,33.2,877,94.76,上海,6
三星 智能家居 X8,1079,2743,2024/4/19,智能家居,三星,1576.42,31.55,83,90.35,武汉,24
海尔 智能穿戴 X3,559,4428,2024/5/30,智能穿戴,海尔,604.85,7.58,181,96.63,上海,6
海尔 耳机 X8,746,419,2024/8/2,耳机,海尔,785.71,5.05,15,81.37,上海,6
联想 电视 X2,1987,6362,2024/4/21,电视,联想,2895.72,31.38,443,87.77,上海,18
戴尔 耳机 X5,296,1193,2024/12/17,耳机,戴尔,377.75,21.64,721,86.01,广州,12
小米 智能穿戴 X2,745,1404,2024/10/18,智能穿戴,小米,769.26,3.15,485,87.23,上海,6
华为 智能家居 X10,1518,499,2024/5/3,智能家居,华为,1558.45,2.6,919,98.38,深圳,6
飞利浦 智能手机 X10,3759,26031,2024/4/8,智能手机,飞利浦,5027.9,25.24,299,92.43,上海,12
飞利浦 投影仪 X6,983,1566,2024/6/11,投影仪,飞利浦,1185.52,17.08,612,83.05,上海,18
戴尔 笔记本电脑 X2,4208,6311,2024/12/26,笔记本电脑,戴尔,4684.06,10.16,579,81.18,广州,24
海尔 智能穿戴 X8,485,4207,2024/7/13,智能穿戴,海尔,670.93,27.71,461,80.77,杭州,6
苹果 智能穿戴 X7,181,3145,2024/5/30,智能穿戴,苹果,266.31,32.03,330,98.86,武汉,18
